vertex_id,x_um,depth_um,potential_V,electric_field_mag_V_per_cm,Ex_V_per_cm,Ey_or_Ez_V_per_cm,net_doping_cm-3,donor_cm-3,acceptor_cm-3,phosphorus_like_cm-3,boron_like_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s
17,-49.99999999999999,-70.0,0.5351434463640548,1085.048397836882,1085.04839783688,7.506657735235073e-05,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,9.009443907508293e+19,17667382599754.26,62.7466607672443,50.59797321040441,4.388505486959477,541525.9179643602
18,-49.99999999999999,-61.25,0.5351433806807996,1085.055176986317,1085.055176986315,6.650088000246549e-05,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,9.009424291293667e+19,17667302334388.21,63.15055793799841,50.76478926326517,4.379200449766484,542865.0830033591
32,-49.99999999999999,-52.5,0.5351433806662516,1085.055180282033,1085.055180282033,2.105519775246886e-08,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,9.009424286948978e+19,17667302334560.4,63.15057060086073,50.76479449377551,4.368859587920321,542865.1576377082
33,-49.99999999999999,-43.75000000000001,0.5351433806580146,1085.055177127043,1085.055177127043,4.748132680168846e-09,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,9.009424284488794e+19,17667302332257.82,63.15057060815766,50.76479449682206,4.3687259988488,542865.1548690833
43,-49.99999999999999,-35.0,0.5351433806439958,1085.055169765694,1085.055169765694,6.023832374295583e-09,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,9.0094242803021e+19,17667302327717.48,63.1505706112191,50.76479449810729,4.368667513251316,542865.1547923234
44,-49.99999999999999,-26.25,0.5351433806139434,1085.055153974565,1085.055153974565,2.112408270747936e-08,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,9.009424271327037e+19,17667302317510.34,63.15057061653047,50.7647945003162,4.368632497545991,542865.1549200108
50,-49.99999999999999,-17.5,0.5351433805259398,1085.055108301781,1085.055108301781,1.730551006610992e-07,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,9.0094242450451e+19,17667302286861.2,63.15057064247627,50.76479451088742,4.368661034214906,542865.1556114272
51,-49.99999999999999,-8.75,0.5351433799532078,1085.054804144645,1085.054804144641,9.056545701007628e-05,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,9.009424073999735e+19,17667302080674.92,63.15058062259767,50.76479850461097,4.368678373367024,542865.2216552799
52,-49.99999999999999,0.0,0.5351431200194511,1085.03298941088,1085.03298941088,0.0,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,9.009346445485816e+19,17667387283209.58,63.35256398729387,50.8482211364496,4.369693604709719,544204.5044776839
97,-48.55507548828125,-17.5,-33.78404876771152,124807.9163394964,124807.9163394888,-0.04334610870734847,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,10394307431.92602,1.713039762999772e+16,82.92405606505181,61.59160273461963,10334362.53020288,7665080.976158675
