line	name	function	type	location	values
18	ElectrostaticPotential	ElectrostaticPotential	scalar	vertex	167
45	ElectrostaticPotential	ElectrostaticPotential	scalar	vertex	34
59	ElectrostaticPotential	ElectrostaticPotential	scalar	vertex	1836
253	ElectrostaticPotential	ElectrostaticPotential	scalar	vertex	34
267	ElectrostaticPotential	ElectrostaticPotential	scalar	vertex	170
295	eDensity	eDensity	scalar	vertex	1836
489	hDensity	hDensity	scalar	vertex	1836
683	LatticeTemperature	LatticeTemperature	scalar	vertex	167
710	LatticeTemperature	LatticeTemperature	scalar	vertex	34
724	LatticeTemperature	LatticeTemperature	scalar	vertex	1836
918	LatticeTemperature	LatticeTemperature	scalar	vertex	34
932	LatticeTemperature	LatticeTemperature	scalar	vertex	170
960	hCurrentDensity	hCurrentDensity	scalar	vertex	1836
1154	eCurrentDensity	eCurrentDensity	scalar	vertex	1836
1348	hCurrentDensity	hCurrentDensity	vector	vertex	3672
1726	eCurrentDensity	eCurrentDensity	vector	vertex	3672
2104	eMobility	eMobility	scalar	vertex	1836
2298	hMobility	hMobility	scalar	vertex	1836
2492	eVelocity	eVelocity	scalar	vertex	1836
2686	hVelocity	hVelocity	scalar	vertex	1836
2880	ElectricField	ElectricField	scalar	vertex	167
2907	ElectricField	ElectricField	scalar	vertex	34
2921	ElectricField	ElectricField	scalar	vertex	1836
3115	ElectricField	ElectricField	scalar	vertex	34
3129	ElectricField	ElectricField	scalar	vertex	170
3157	ElectricField	ElectricField	vector	vertex	334
3201	ElectricField	ElectricField	vector	vertex	68
3218	ElectricField	ElectricField	vector	vertex	3672
3596	ElectricField	ElectricField	vector	vertex	68
3613	ElectricField	ElectricField	vector	vertex	340
3658	SpaceCharge	SpaceCharge	scalar	vertex	1836
3852	DopingConcentration	DopingConcentration	scalar	vertex	1836
4046	DonorConcentration	DonorConcentration	scalar	vertex	1836
4240	AcceptorConcentration	AcceptorConcentration	scalar	vertex	1836
4434	srhRecombination	srhRecombination	scalar	vertex	1836
4628	AugerRecombination	AugerRecombination	scalar	vertex	1836
4822	ImpactIonization	ImpactIonization	scalar	vertex	1836
5016	TotalRecombination	TotalRecombination	scalar	vertex	1836
5210	SurfaceRecombination	SurfaceRecombination	scalar	vertex	1836
5404	eIonIntegral	eIonIntegral	scalar	vertex	1836
5598	hIonIntegral	hIonIntegral	scalar	vertex	1836
5792	MeanIonIntegral	MeanIonIntegral	scalar	vertex	1836
5986	eAlphaAvalanche	eAlphaAvalanche	scalar	vertex	1836
6180	hAlphaAvalanche	hAlphaAvalanche	scalar	vertex	1836
6374	eGradQuasiFermi	eGradQuasiFermi	vector	vertex	3672
6752	hGradQuasiFermi	hGradQuasiFermi	vector	vertex	3672
7130	eEparallel	eEparallel	scalar	vertex	1836
7324	hEparallel	hEparallel	scalar	vertex	1836
7518	eEnormal	eEnormal	scalar	vertex	1836
7712	hEnormal	hEnormal	scalar	vertex	1836
7906	BandGap	BandGap	scalar	vertex	34
7920	BandGap	BandGap	scalar	vertex	1836
8114	BandGap	BandGap	scalar	vertex	34
8128	BandgapNarrowing	BandgapNarrowing	scalar	vertex	34
8142	BandgapNarrowing	BandgapNarrowing	scalar	vertex	1836
8336	BandgapNarrowing	BandgapNarrowing	scalar	vertex	34
8350	ElectronAffinity	ElectronAffinity	scalar	vertex	167
8377	ElectronAffinity	ElectronAffinity	scalar	vertex	34
8391	ElectronAffinity	ElectronAffinity	scalar	vertex	1836
8585	ElectronAffinity	ElectronAffinity	scalar	vertex	34
8599	ElectronAffinity	ElectronAffinity	scalar	vertex	170
8627	ConductionBandEnergy	ConductionBandEnergy	scalar	vertex	34
8641	ConductionBandEnergy	ConductionBandEnergy	scalar	vertex	1836
8835	ConductionBandEnergy	ConductionBandEnergy	scalar	vertex	34
8849	ValenceBandEnergy	ValenceBandEnergy	scalar	vertex	34
8863	ValenceBandEnergy	ValenceBandEnergy	scalar	vertex	1836
9057	ValenceBandEnergy	ValenceBandEnergy	scalar	vertex	34
9071	eQuasiFermiPotential	eQuasiFermiPotential	scalar	vertex	167
9098	eQuasiFermiPotential	eQuasiFermiPotential	scalar	vertex	34
9112	eQuasiFermiPotential	eQuasiFermiPotential	scalar	vertex	1836
9306	eQuasiFermiPotential	eQuasiFermiPotential	scalar	vertex	34
9320	eQuasiFermiPotential	eQuasiFermiPotential	scalar	vertex	170
9348	hQuasiFermiPotential	hQuasiFermiPotential	scalar	vertex	167
9375	hQuasiFermiPotential	hQuasiFermiPotential	scalar	vertex	34
9389	hQuasiFermiPotential	hQuasiFermiPotential	scalar	vertex	1836
9583	hQuasiFermiPotential	hQuasiFermiPotential	scalar	vertex	34
9597	hQuasiFermiPotential	hQuasiFermiPotential	scalar	vertex	170
9625	QuasiFermiPotential	QuasiFermiPotential	scalar	vertex	167
9652	QuasiFermiPotential	QuasiFermiPotential	scalar	vertex	34
9666	QuasiFermiPotential	QuasiFermiPotential	scalar	vertex	1836
9860	QuasiFermiPotential	QuasiFermiPotential	scalar	vertex	34
9874	QuasiFermiPotential	QuasiFermiPotential	scalar	vertex	170
9902	Extrapolation_eDensity	Extrapolation_eDensity	vector	vertex	3672
10280	Extrapolation_hDensity	Extrapolation_hDensity	vector	vertex	3672
10658	Extrapolation_ElectrostaticPotential	Extrapolation_ElectrostaticPotential	vector	vertex	334
10702	Extrapolation_ElectrostaticPotential	Extrapolation_ElectrostaticPotential	vector	vertex	68
10719	Extrapolation_ElectrostaticPotential	Extrapolation_ElectrostaticPotential	vector	vertex	3672
11097	Extrapolation_ElectrostaticPotential	Extrapolation_ElectrostaticPotential	vector	vertex	68
11114	Extrapolation_ElectrostaticPotential	Extrapolation_ElectrostaticPotential	vector	vertex	340
11159	Extrapolation_QuasiFermiPotential	Extrapolation_QuasiFermiPotential	vector	vertex	334
11203	Extrapolation_QuasiFermiPotential	Extrapolation_QuasiFermiPotential	vector	vertex	68
