vertex_id,x_um,depth_um,potential_V,electric_field_mag_V_per_cm,Ex_V_per_cm,Ey_or_Ez_V_per_cm,net_doping_cm-3,donor_cm-3,acceptor_cm-3,phosphorus_like_cm-3,boron_like_cm-3,impact_ionization,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1,bias_V
17,-49.99999999999999,-70.0,0.5351434463640548,1085.048397836882,1085.04839783688,7.506657735235073e-05,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,9.009443907508293e+19,17667382599754.26,0.0,0.0,0.0,-590.0
18,-49.99999999999999,-61.25,0.5351433806807996,1085.055176986317,1085.055176986315,6.650088000246549e-05,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,9.009424291293667e+19,17667302334388.21,0.0,0.0,0.0,-590.0
32,-49.99999999999999,-52.5,0.5351433806662516,1085.055180282033,1085.055180282033,2.105519775246886e-08,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,9.009424286948978e+19,17667302334560.4,0.0,0.0,0.0,-590.0
33,-49.99999999999999,-43.75000000000001,0.5351433806580146,1085.055177127043,1085.055177127043,4.748132680168846e-09,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,9.009424284488794e+19,17667302332257.82,0.0,0.0,0.0,-590.0
43,-49.99999999999999,-35.0,0.5351433806439958,1085.055169765694,1085.055169765694,6.023832374295583e-09,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,9.0094242803021e+19,17667302327717.48,0.0,0.0,0.0,-590.0
44,-49.99999999999999,-26.25,0.5351433806139434,1085.055153974565,1085.055153974565,2.112408270747936e-08,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,9.009424271327037e+19,17667302317510.34,0.0,0.0,0.0,-590.0
50,-49.99999999999999,-17.5,0.5351433805259398,1085.055108301781,1085.055108301781,1.730551006610992e-07,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,9.0094242450451e+19,17667302286861.2,0.0,0.0,0.0,-590.0
51,-49.99999999999999,-8.75,0.5351433799532078,1085.054804144645,1085.054804144641,9.056545701007628e-05,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,9.009424073999735e+19,17667302080674.92,0.0,0.0,0.0,-590.0
52,-49.99999999999999,0.0,0.5351431200194511,1085.03298941088,1085.03298941088,0.0,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,9.009346445485816e+19,17667387283209.58,0.0,0.0,0.0,-590.0
97,-48.55507548828125,-17.5,-33.78404876771152,124807.9163394964,124807.9163394888,-0.04334610870734847,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,10394307431.92602,1.713039762999772e+16,106208498631988.7,0.01607214750829283,2.931172282736062e-07,-590.0
98,-48.6049779296875,-8.75,-33.12828620031514,141844.2656748952,141844.2656748698,0.08483643431334319,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,11202919821.90393,2.711269118250029e+16,6.780209295962478e+16,0.02323052386636094,0.0001871950868316367,-590.0
99,-48.6049779296875,-17.5,-33.12832967967856,141844.7340933744,141844.7340933685,-0.04121210461991098,-2.711268144585389e+16,11202922288.6673,2.711269264877618e+16,11202922288.6673,2.711269264877618e+16,6.781806116802579e+16,0.02323168499697722,0.0001872163567247841,-590.0
100,-48.55507548828125,-26.25,-33.78407918407566,124808.1962208824,124808.1962208802,-0.02344808205880616,-1.713038790799605e+16,10394307610.23349,1.713039830230366e+16,10394307610.23349,1.713039830230366e+16,106220501179538.0,0.01607041233418492,2.931541058298286e-07,-590.0
101,-48.50517304687499,-26.25,-34.37400543692182,114368.7970067598,114368.7970067571,-0.0245410580616131,-1.001678382858267e+16,10128791872.45466,1.001679395737455e+16,10128791872.45466,1.001679395737455e+16,288809625450.8017,0.001869355767155337,7.96272065641705e-10,-590.0
102,-48.50517304687499,-35.0,-34.37401692414335,114368.900505553,114368.9005055528,-0.006964851641154074,-1.00167840502552e+16,10128791893.31887,1.001679417904709e+16,10128791893.31887,1.001679417904709e+16,288832552503.5464,0.001869439352700461,7.963335432569134e-10,-590.0
103,-48.45527060546875,-35.0,-34.92554762606157,108389.1448940205,108389.1448940203,-0.00729514836144022,-5574017602190481.0,10052594038.29195,5574027654784520.0,10052594038.29195,5574027654784520.0,3519034352.604042,0.0001691838681374521,9.63722935278244e-12,-590.0
104,-48.45527060546875,-43.75000000000001,-34.92554857042171,108389.157260631,108389.157260631,1.190969561954061e-05,-5574017666350158.0,10052594040.7729,5574027718944200.0,10052594040.7729,5574027718944200.0,3519148462.043278,0.000169185687318951,9.637437666515927e-12,-590.0
105,-48.4053681640625,-43.75000000000001,-35.45579452151436,105114.9239136637,105114.9239136637,-1.702927341319761e-05,-3005850056825392.0,10033788552.02433,3005860090613944.0,10033788552.02433,3005860090613944.0,223645175.575628,3.990947775470841e-05,5.991563822877012e-13,-590.0
106,-48.4053681640625,-52.5,-35.45579357329288,105114.9217130933,105114.9217130932,-0.005014388812269835,-3005850060267604.0,10033788552.04629,3005860094056156.0,10033788552.04629,3005860094056156.0,223649548.226285,3.990958862546649e-05,5.991583080717044e-13,-590.0
107,-48.35546572265625,-52.5,-35.97464587879667,103380.4441215677,103380.4441215676,-0.005257340226720005,-1583947472115742.0,10030041677.98583,1583957502157420.0,10030041677.98583,1583957502157420.0,50020973.8922236,1.803561660369803e-05,1.298137940594143e-13,-590.0
108,-48.35546572265625,-61.25,-35.97465585794545,103380.5315486889,103380.5315486053,-0.1314046871516209,-1583947413131150.0,10030041677.62867,1583957443172828.0,10030041677.62867,1583957443172828.0,50028835.69760582,1.803610251105481e-05,1.298292986259844e-13,-590.0
109,-48.30556328125,-61.25,-36.48759130162529,102490.305001372,102490.305001285,-0.133568161255499,-818063614482249.2,10029630360.86823,818073644112610.1,10029630360.86823,818073644112610.1,23653352.48053699,1.198403108894268e-05,5.978739904459815e-14,-590.0
