event_id,primary_charge_fC,preirradiation_reference_charge_fC,acceptor_sqrt_no_trapping_charge_fC,acceptor_direct_no_trapping_charge_fC,hybrid_sqrt_nominal_trapping_charge_fC,hybrid_direct_nominal_trapping_charge_fC,hybrid_direct_strong_trapping_charge_fC
0,0.5408093225112055,5.308164693451763,3.6156776549185614,2.6270600852097554,2.269347539402006,1.6623359774645055,1.4110877762359073
1,0.6336945652201977,6.238926517497246,4.2488975054186815,3.0864990645966723,2.690112144918425,1.9763990626173256,1.6804529100966061
2,0.636865769820806,6.281287590755997,4.2772998029343166,3.106758288388125,2.6882096053701146,1.969496672349177,1.6714216432833569
3,0.470846040855736,4.511382830995247,3.0773881977021413,2.239653691613827,1.9475755421918064,1.4332062380747979,1.2177008959826914
4,0.6769091471780383,6.592647921162765,4.492675627238989,3.265989087488769,2.8329816341414342,2.079795634810994,1.7655101266005804
5,0.7796330319444359,7.614954060015906,5.188464796026471,3.7710634731927124,3.286879407652954,2.416594459205416,2.0541956980912657
6,0.5127977251058679,4.966110604451676,3.3853925536083764,2.4619965179744523,2.1350763985144594,1.5681108834277193,1.3312243112566284
7,0.3910869312878471,3.730305238085513,2.5452809933906293,1.8529776429542786,1.606959076408158,1.1818845574117935,1.00440967916222
8,0.5975727333675506,5.819901194903707,3.966079694988162,2.8831793780424775,2.4986343342351556,1.8337331299132218,1.559056794831832
9,0.6138394025540662,6.022688278536327,4.102471897332504,2.9808299804876426,2.5807530079679895,1.8920644465412604,1.602768267985506
10,0.882995242358031,8.620344431234484,5.873660355070028,4.269216993665177,3.7095352050689345,2.724406373448666,2.3126885393399164
11,0.7084719498129332,6.8976802107492965,4.7006480592877855,3.4172597747426234,2.9787842045324027,2.190783312447141,1.8637991856145666
12,0.7092883698726208,6.918657035374674,4.714414390107815,3.426826635423284,2.978203235918254,2.1876238671448713,1.857230784479284
13,0.5172387211092894,5.104634459705756,3.4759191821978774,2.524579474486636,2.1834477523637803,1.5993248120513213,1.3574409591903258
14,0.485621968518652,4.792593284611395,3.2634414620577297,2.370256765713462,2.0582463221697807,1.5098305806658006,1.2816263922168627
15,0.8183578880110921,7.994134340186608,5.446779153250592,3.958777585833921,3.4412224999327234,2.5275889748332263,2.1480100075640345
16,0.7755097768810492,7.552252221381583,5.14664795721132,3.7414258432900582,3.2500814952191903,2.3872745857108097,2.026622245558915
17,0.3696306862756916,3.6478701093714685,2.4839609808009047,1.804116022306161,1.5661280418171537,1.148702979698886,0.9751641188639661
18,0.7206108114757703,7.098521866415136,4.834156274039831,3.5115168898736107,3.0363820561657837,2.2242809729600506,1.883039451860194
19,0.6217934954673272,6.066431936273343,4.133652096536461,3.0046383923322204,2.6082884253049445,1.9150735830610532,1.6262526273517188
20,0.44978803597461503,4.385951569257949,2.9886719724665203,2.172462866267701,1.8820417352757584,1.380889035174726,1.172555601617484
21,0.5708801971664653,5.592452589861308,3.8097599694440145,2.768440732671449,2.415591047291033,1.7762206417941147,1.5108650352987243
22,0.4662836273945485,4.540208836605264,3.0940523022238873,2.2492861506425244,1.9530299665741855,1.4343432299849748,1.2190056856816358
23,0.6965670711806278,6.824462924448052,4.649011739504141,3.37827341268912,2.935416320265865,2.155182506788502,1.831646479455098
24,0.5210731450475707,5.0521328399342575,3.4437928446425103,2.5042671449165774,2.1619006398295677,1.5850315045479064,1.3440813727569056
25,0.5676013270655424,5.525803140411679,3.765749079422514,2.737620916420377,2.381045083302264,1.7497740019945633,1.4865347429702076
26,0.43392115936509523,4.276160995773911,2.912033135479878,2.115233884159818,1.8334893090243976,1.3442542673329037,1.1415261066919937
27,0.8340862422900316,8.22189600561256,5.59896196710992,4.066883879131439,3.535433352537238,2.594736826827123,2.2038997831883966
28,0.7563646648795559,7.331958940036944,4.997902340092322,3.6344404561454544,3.1598753377374056,2.322709224902572,1.9750118068356377
29,0.7120296317304494,6.844469859212416,4.667958272501177,3.396470707007161,2.947381290968662,2.1666874449130753,1.8413213474420882
30,0.6116074406883225,5.945879473158723,4.05236710415869,2.946270352343295,2.5586555239918463,1.8795116999797943,1.5970125885213002
31,0.610049499496075,5.781615944963692,3.9464866747524123,2.874347866810372,2.490840979898141,1.8325473462244013,1.557306981403735
32,0.9480987419621617,9.160599599874924,6.245641300392991,4.5428089251543,3.950260579648975,2.9047208571456515,2.467285420244849
33,0.5648415361835879,5.451923712002263,3.717314429489159,2.7040030617315236,2.3314944220507843,1.7093208585913116,1.4485653667431078
34,1.213531146727247,11.7920501409396,8.037011044006581,5.843494268981323,5.1064098391319686,3.7595897095018587,3.2011217749545224
35,0.7162624108809081,7.031933200115467,4.789761340216341,3.480063314314711,2.9852221492183255,2.1810670647424883,1.8473615219197694
36,1.132281540483507,11.072875411187502,7.543968210074342,5.482621964981727,4.777565427570126,3.511898052592579,2.98603360236567
37,1.3871545525186955,13.668938086275677,9.308489335137482,6.761509687678903,5.883171975091484,4.3193255082167195,3.668516102021808
38,0.7094075336151837,6.8521911509765445,4.671868198156675,3.398186884959355,2.9605617917762297,2.1785209837032538,1.853579520945858
39,0.506005716345587,4.9756382200566005,3.388810475132371,2.4619192948718833,2.150349023491218,1.581237488231898,1.3457576722049938
40,3.465314178718738,33.97034282884503,23.140778988414635,16.81494844849263,14.733567517977344,10.849505174390483,9.244122146075888
41,0.5860663891865723,5.741859068029484,3.911516692387662,2.842363793406256,2.474057683124793,1.8175973984609084,1.5440032853740777
42,0.7390127806820417,7.282644823768499,4.959433546313018,3.602423618524269,3.149795494221539,2.316590884805624,1.9721319704109872
43,0.5317884300543995,5.0351180832934315,3.4371351510952497,2.5035389396826284,2.172499098820454,1.5992706718059189,1.3580957279241512
44,10.238841822800513,100.93299303655353,68.73340478023387,49.925330812295876,43.58002305741289,32.03185852886138,27.223436495742412
45,0.6068875753852364,5.136652654720613,3.531934845616801,2.593784785776645,2.2222673315427928,1.6462428399757658,1.39602514590598
46,0.642009510640497,6.324259698597773,4.306874663822345,3.1284997922644497,2.713152103661221,1.989629486490085,1.6897754122921267
47,0.5905729587504734,5.770370643074851,3.9315702116263,2.8574619970575874,2.4810965721071283,1.821593721743506,1.5455092779780752
48,0.3468967716821935,3.380055098427396,2.3033387666918625,1.6743818422086907,1.458738033492738,1.0725582439067198,0.9118332814935082
49,0.39818146886496225,3.905995718965212,2.660675532704202,1.9332552838112296,1.6732430362030182,1.2266067276908799,1.041377185607507
50,0.4993716994613111,4.824090848563859,3.289069233126912,2.392355121527286,2.0754525686145713,1.5248697648562635,1.2942029029078466
51,0.53271737095417,5.00462415627936,3.417961964583767,2.4909398217791443,2.1590278497264173,1.5898359031278577,1.3493016165692597
52,0.5677535780538314,5.589770119714454,3.806804350269362,2.7653523823419643,2.3995438252364187,1.7600919223241458,1.4930158978540387
53,0.5388610586030458,5.306220781447611,3.613662485108239,2.6250193231128574,2.271898903160842,1.6648716268776387,1.4111779085495884
54,1.2519643858671745,12.355649115640674,8.413381714229217,6.110686083043434,5.34680081402134,3.9329448256087516,3.352564684637287
55,0.5138269189231588,4.984262306356084,3.397433639517831,2.47047546825364,2.1496622471199696,1.5805095780098422,1.3439004477450756
