vertex_id,x_um,depth_um,temperature_K,bias_V,Ex_V_per_cm,Ey_or_Ez_V_per_cm,potential_V,lattice_temperature_K,electric_field_mag_V_per_cm,space_charge_cm-3,net_doping_cm-3,donor_cm-3,acceptor_cm-3,eMobility_cm2_per_Vs,hMobility_cm2_per_Vs,eVelocity_cm_per_s,hVelocity_cm_per_s,srh_recombination_cm-3_s-1,auger_recombination_cm-3_s-1,avalanche_generation_cm-3_s-1,eIonIntegral,hIonIntegral,eAlphaAvalanche_cm-1,hAlphaAvalanche_cm-1
17,-49.99999999999999,-70.0,253.0,-570.0,1005.291364781888,7.003499683547749e-05,0.5451894817739237,253.0,1005.29136478189,70688.08214339096,9.00944214077003e+19,9.009443907508293e+19,17667382599754.26,69.89872884330627,53.50180555296418,5.887305767316581,483794.9893107626,3.425207571171402e-06,3.065666265454015e-06,0.0,0.0,0.0,0.0,0.0
18,-49.99999999999999,-61.25,253.0,-570.0,1005.297060934845,6.071168042896542e-05,0.5451894204933014,253.0,1005.297060934847,-480678.4272941301,9.009422524563436e+19,9.009424291293667e+19,17667302334388.21,70.44972217472753,53.73135241125661,5.871975029825363,485351.7842474993,1.102365655354994e-06,9.923522374185178e-07,0.0,0.0,0.0,0.0,0.0
32,-49.99999999999999,-52.5,253.0,-570.0,1005.297060536874,1.23030881688386e-08,0.5451894204797278,253.0,1005.297060536874,424128.1522957137,9.009422520218742e+19,9.009424286948978e+19,17667302334560.4,70.44973939470859,53.73135971552172,5.854966886715157,485351.8297265576,1.200791160297481e-06,1.063234539578525e-06,0.0,0.0,0.0,0.0,0.0
33,-49.99999999999999,-43.75000000000001,253.0,-570.0,1005.297057051591,3.282121110377126e-09,0.545189420472043,253.0,1005.297057051591,14137.67091906572,9.009422517758561e+19,9.009424284488794e+19,17667302332257.82,70.44973940542917,53.73135971988257,5.854741304228837,485351.8298431889,-2.283471714664121e-06,-2.073307351611982e-06,0.0,0.0,0.0,0.0,0.0
43,-49.99999999999999,-35.0,253.0,-570.0,1005.297049980669,5.189986357560035e-09,0.5451894204589639,253.0,1005.297049980669,-14137.53469311689,9.009422513571868e+19,9.0094242803021e+19,17667302327717.48,70.44973941016403,53.73135972148751,5.854657752164626,485351.8299215636,-6.299232316315142e-07,-5.670584206901914e-07,0.0,0.0,0.0,0.0,0.0
44,-49.99999999999999,-26.25,253.0,-570.0,1005.297035033312,1.925333085441612e-08,0.545189420430926,253.0,1005.297035033312,197926.5073982528,9.009422504596804e+19,9.009424271327037e+19,17667302317510.34,70.44973941836739,53.73135972409553,5.854599360688644,485351.830048884,2.814969441353646e-06,2.534042314934909e-06,0.0,0.0,0.0,0.0,0.0
50,-49.99999999999999,-17.5,253.0,-570.0,1005.296992206517,1.60999315152755e-07,0.5451894203488209,253.0,1005.296992206517,438265.755101805,9.00942247831487e+19,9.0094242450451e+19,17667302286861.2,70.4497394558727,53.73135973731301,5.854592446960899,485351.830441688,-1.141735857332622e-06,-1.027793383478855e-06,0.0,0.0,0.0,0.0,0.0
51,-49.99999999999999,-8.75,253.0,-570.0,1005.296708339753,8.449477893362373e-05,0.5451894198144781,253.0,1005.296708339757,862393.8392845447,9.009422307269526e+19,9.009424073999735e+19,17667302080674.92,70.44975282448323,53.731365158678,5.854467570829596,485351.9053369839,2.834654542349055e-06,2.551762834674271e-06,0.0,0.0,0.0,0.0,0.0
52,-49.99999999999999,0.0,253.0,-570.0,1005.275578654998,0.0,0.5451891773037095,253.0,1005.275578654998,268614.5214288679,9.009344678747088e+19,9.009346445485816e+19,17667387283209.58,70.72529839620776,53.84615835566996,5.855950918899646,486908.8822671457,1.141735858432859e-06,1.027784508117401e-06,0.0,0.0,0.0,0.0,0.0
97,-48.55507548828125,-17.5,253.0,-570.0,117138.0775456899,-0.03910532179982374,-32.90847932800166,253.0,117138.0775456965,-1.707300954304849e+16,-1.713038723569029e+16,10394307431.92602,1.713039762999772e+16,99.8431892068997,72.6784184769157,11664084.21055239,8485634.9046512,9857150482.7419,135.1006627237726,24001406972379.72,0.0,0.0,0.01706400011208675,4.936572910874772e-08
98,-48.6049779296875,-8.75,253.0,-570.0,134166.7180836849,0.0569499093587863,-32.29101231053106,253.0,134166.718083697,-2.705562389018206e+16,-2.711267997958047e+16,11202919821.90393,2.711269118250029e+16,94.12826982748788,64.07585655796298,12629255.49951316,8544854.174060563,15122989741.3094,149.8288648039007,3.312336103371605e+16,0.0,0.0,0.03529720569416316,6.817414718739946e-05
