temperature_K,bias_V,anode_conduction_current_A,operating_regime,state,fluence_neq_cm-2,active_acceptor_fraction,beta_e_cm2_per_ns,beta_h_cm2_per_ns,charge_MPV_fC,charge_median_fC,charge_p16_fC,charge_p84_fC,events,map
253.0,450.0,-5.049e-10,stable,D0_undamaged,0.0,1.0,0.0,0.0,4.7309924636025436,5.580766315650855,4.417380429788797,7.96856465393196,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V450/n590_T253_V450_map.csv
253.0,470.0,-3.659e-09,stable,D0_undamaged,0.0,1.0,0.0,0.0,5.223365977020942,6.160025055847395,4.876115568904583,8.794578189517125,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V470/n590_T253_V470_map.csv
253.0,490.0,-3.977e-11,stable,D0_undamaged,0.0,1.0,0.0,0.0,6.065344224055101,7.151985685610347,5.659345904515704,10.209838229794483,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V490/n590_T253_V490_map.csv
253.0,510.0,-8e-11,stable,D0_undamaged,0.0,1.0,0.0,0.0,6.685562462552254,7.881978780902778,6.23755109607449,11.253664947835698,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V510/n590_T253_V510_map.csv
253.0,530.0,-5.055e-11,stable,D0_undamaged,0.0,1.0,0.0,0.0,7.612387180490398,8.972342392476694,7.100676308357371,12.812462908419104,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V530/n590_T253_V530_map.csv
253.0,550.0,-3.796e-10,stable,D0_undamaged,0.0,1.0,0.0,0.0,8.466462831286519,9.977221074097383,7.895994782701857,14.246432802212352,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V550/n590_T253_V550_map.csv
253.0,570.0,-0.1089,breakdown,D0_undamaged,0.0,1.0,0.0,0.0,5.2867006332986,6.234860851816707,4.93567583132388,8.903285635020257,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V570/n590_T253_V570_map.csv
253.0,590.0,-0.1308,breakdown,D0_undamaged,0.0,1.0,0.0,0.0,5.287330492373712,6.2359879134306,4.936397178465718,8.904450470364798,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V590/n590_T253_V590_map.csv
253.0,610.0,-0.1528,breakdown,D0_undamaged,0.0,1.0,0.0,0.0,5.288217279230863,6.237987238213124,4.93764539516966,8.907180683162975,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V610/n590_T253_V610_map.csv
253.0,450.0,-5.049e-10,stable,D1_low,500000000000000.0,0.9,5e-16,7e-16,3.471253375238674,4.086850342552723,3.236050005924136,5.835376851066181,10000,LGAD_V4_3_N590_OperatingScan/outputs/tcad_maps/T253_V450/n590_T253_V450_map.csv
